[2026-03-26T04:43:52.021Z] GET http://localhost:1420/node_modules/.vite/deps/clsx.js?v=ed96a2ad → 200 (463ms, ?B)
[2026-03-26T04:43:52.021Z] GET http://localhost:1420/node_modules/.vite/deps/tailwind-merge.js?v=ed96a2ad → 200 (462ms, ?B)
[2026-03-26T04:43:52.021Z] GET http://localhost:1420/node_modules/.vite/deps/@tauri-apps_api_window.js?v=9a4a8da3 → pending (?ms, ?B)
[2026-03-26T04:43:52.022Z] GET http://localhost:1420/src/components/ui/badge.tsx → 200 (467ms, ?B)
[2026-03-26T04:43:52.022Z] GET http://localhost:1420/src/components/ui/dropdown-menu.tsx → 200 (468ms, ?B)
[2026-03-26T04:43:52.022Z] GET http://localhost:1420/node_modules/.vite/deps/lucide-react.js?v=ed96a2ad → 200 (491ms, ?B)
[2026-03-26T04:43:52.027Z] GET http://localhost:1420/node_modules/.vite/deps/react_jsx-runtime.js?v=ed96a2ad → 200 (459ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/useIsoLayoutEffect-Dgu1xZyy.js?v=ed96a2ad → 200 (459ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/useRenderElement-CfGRUgOI.js?v=ed96a2ad → 200 (472ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/useBaseUiId-DrB3rYDQ.js?v=ed96a2ad → 200 (474ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/createBaseUIEventDetails-CSYZ5wEr.js?v=ed96a2ad → 200 (474ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/useTransitionStatus-zlbLuWz-.js?v=ed96a2ad → 200 (475ms, ?B)
[2026-03-26T04:43:52.028Z] GET http://localhost:1420/node_modules/.vite/deps/useOnFirstRender-C22z4vAo.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.032Z] GET http://localhost:1420/node_modules/.vite/deps/useTimeout-B5ShU3LE.js?v=ed96a2ad → 200 (478ms, ?B)
[2026-03-26T04:43:52.032Z] GET http://localhost:1420/node_modules/.vite/deps/element-BTUtLqKY.js?v=ed96a2ad → 200 (478ms, ?B)
[2026-03-26T04:43:52.032Z] GET http://localhost:1420/node_modules/.vite/deps/inertValue-RJhedEaQ.js?v=ed96a2ad → 200 (481ms, ?B)
[2026-03-26T04:43:52.032Z] GET http://localhost:1420/node_modules/.vite/deps/usePopupViewport-D49qhA5U.js?v=ed96a2ad → 200 (499ms, ?B)
[2026-03-26T04:43:52.188Z] GET http://localhost:1420/node_modules/.vite/deps/useButton-B674GxSP.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.339Z] GET http://localhost:1420/node_modules/.vite/deps/@tauri-apps_api_event.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.390Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_tabs.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.422Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_input.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.432Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_dialog.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.433Z] GET http://localhost:1420/node_modules/.vite/deps/@hugeicons_react.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.433Z] GET http://localhost:1420/node_modules/.vite/deps/@hugeicons_core-free-icons.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.439Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_scroll-area.js?v=ed96a2ad → pending (?ms, ?B)
